times,DirectSolver-cplex,DirectSolver-mosek,DirectSolver-scip,BourguignonSolver,HazimehSolver,BnbSolver,BnbSolver-accel
0.010000000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0
0.012589254117941675,0.0,0.0,0.0,0,0.0,0.0,0.0
0.015848931924611134,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0199526231496888,0.0,0.0,0.0,0,0.0,0.0,0.0
0.025118864315095794,0.0,0.0,0.0,0,0.0,0.0,0.0
0.03162277660168379,0.0,0.0,0.0,0,0.0,0.0,0.0
0.039810717055349734,0.0,0.0,0.0,0,0.0,0.0,0.0
0.05011872336272725,0.0,0.0,0.0,0,0.0,0.0,0.0
0.06309573444801933,0.0,0.0,0.0,0,0.0,0.0,1.0
0.07943282347242814,0.0,0.0,0.0,0,0.0,0.0,2.0
0.1,0.0,0.0,0.0,0,0.0,0.0,9.5
0.12589254117941676,0.0,0.0,0.0,0,0.0,0.0,28.5
0.15848931924611143,0.0,0.0,0.0,0,0.0,0.0,50.5
0.19952623149688797,0.0,0.0,0.0,0,0.0,0.0,70.0
0.25118864315095807,0.0,0.0,0.0,0,0.0,0.0,87.5
0.31622776601683794,0.0,0.0,0.0,0,1.0,0.5,95.0
0.3981071705534973,0.0,0.0,0.0,0,4.0,7.0,98.5
0.5011872336272725,0.0,0.0,0.0,0,9.5,21.5,98.5
0.6309573444801934,0.0,0.0,0.0,1,22.5,48.5,99.0
0.7943282347242817,0.0,0.0,0.0,2,40.0,69.5,99.5
1.0,0.0,0.0,0.0,10,60.0,89.5,99.5
1.2589254117941675,0.0,0.0,0.0,42,71.5,96.0,99.5
1.584893192461114,0.0,0.0,0.0,62,85.5,98.5,99.5
1.9952623149688808,0.0,0.0,0.0,70,91.5,99.5,99.5
2.5118864315095824,0.0,0.5,0.0,74,96.5,99.5,99.5
3.1622776601683795,0.0,2.0,0.0,80,98.5,99.5,99.5
3.981071705534973,0.0,10.5,0.0,90,99.0,99.5,99.5
5.011872336272725,0.0,21.5,0.0,95,99.0,99.5,99.5
6.309573444801936,0.0,31.5,0.0,96,99.5,99.5,99.5
7.943282347242821,0.0,36.0,0.0,97,99.5,99.5,99.5
10.0,0.0,51.0,0.0,98,99.5,99.5,99.5
12.589254117941675,0.0,67.0,0.0,99.5,99.5,99.5,99.5
15.848931924611142,0.0,70.0,0.0,99.5,99.5,99.5,99.5
19.952623149688808,0.0,77.5,0.0,99.5,99.5,99.5,99.5
25.11886431509582,0.0,89.5,0.0,99.5,99.5,99.5,99.5
31.622776601683793,0.0,96.5,0.0,99.5,99.5,99.5,99.5
39.810717055349734,0.0,99.0,0.0,99.5,99.5,99.5,99.5
50.11872336272725,0.0,99.0,0.0,99.5,99.5,99.5,99.5
63.095734448019364,0.0,99.0,0.0,99.5,99.5,99.5,99.5
79.43282347242821,0.0,99.0,0.0,99.5,99.5,99.5,99.5
100.0,0.0,99.0,0.0,99.5,99.5,99.5,99.5
125.89254117941688,0.0,99.0,0.0,99.5,99.5,99.5,99.5
158.48931924611142,0.0,99.0,0.0,99.5,99.5,99.5,99.5
199.52623149688787,0.0,99.5,0.0,99.5,99.5,99.5,99.5
251.18864315095823,0.0,99.5,0.0,99.5,99.5,99.5,99.5
316.22776601683796,0.0,99.5,0.0,99.5,99.5,99.5,99.5
398.1071705534977,3.5,99.5,0.0,99.5,99.5,99.5,99.5
501.18723362727246,8.5,99.5,0.0,99.5,99.5,99.5,99.5
630.9573444801943,21.0,99.5,0.0,99.5,99.5,99.5,99.5
794.3282347242822,59.5,99.5,0.0,99.5,99.5,99.5,99.5
1000.0,84.0,99.5,0.0,99.5,99.5,99.5,99.5
1258.9254117941687,94.0,99.5,0.0,99.5,99.5,99.5,99.5
1584.893192461114,98.0,99.5,0.0,99.5,99.5,99.5,99.5
1995.262314968883,99.0,99.5,1.0,99.5,99.5,99.5,99.5
2511.886431509582,99.0,99.5,3.0,99.5,99.5,99.5,99.5
3162.2776601683795,99.5,99.5,8.0,99.5,99.5,99.5,99.5
